gender,language,age,country,account_type
Female,Kyrgyz,56,Indonesia,jcb
Male,Croatian,43,Thailand,visa
Male,Telugu,46,Indonesia,visa-electron
Male,Bengali,57,China,china-unionpay
Male,Tetum,18,Russia,jcb
Male,Malayalam,34,Indonesia,mastercard
Male,Kazakh,33,Czech Republic,jcb
Female,French,57,Ethiopia,visa-electron
Female,Hindi,22,Sweden,solo
Male,Mongolian,53,China,visa-electron
Male,Lao,28,Bangladesh,jcb
Female,West Frisian,49,Sweden,visa-electron
Male,Croatian,25,Indonesia,jcb
Male,Aymara,51,Swaziland,bankcard
Female,Montenegrin,20,Peru,jcb
Female,Papiamento,27,Russia,jcb
Female,Italian,60,Argentina,switch
Female,Bulgarian,47,Morocco,diners-club-us-ca
Male,Japanese,30,Argentina,jcb
Female,Dhivehi,27,China,jcb
Male,Maltese,22,Mexico,mastercard
Female,Gagauz,59,Azerbaijan,jcb
Male,Kurdish,36,Syria,jcb
Male,Haitian Creole,53,Ukraine,maestro
Male,Gagauz,18,Portugal,jcb
Male,West Frisian,31,Ireland,visa-electron
Female,Bislama,48,China,mastercard
Male,German,26,Czech Republic,americanexpress
Female,Romanian,19,Indonesia,jcb
Female,Azeri,36,Indonesia,maestro
Female,Telugu,19,Netherlands,diners-club-enroute
Female,Oriya,51,Slovenia,jcb
Male,Swati,52,Nigeria,jcb
Male,Northern Sotho,57,Ghana,jcb
Male,Albanian,30,Egypt,mastercard
Female,Gagauz,19,Czech Republic,jcb
Female,Armenian,32,Russia,diners-club-enroute
Male,Icelandic,56,Republic of the Congo,jcb
Male,Icelandic,43,China,jcb
Female,Hebrew,34,Colombia,jcb
Male,Swedish,46,Slovenia,jcb
Male,Maltese,38,Argentina,jcb
Female,Tajik,23,Sweden,jcb
Male,Portuguese,55,Russia,bankcard
Female,Maltese,39,Palestinian Territory,diners-club-carte-blanche
Male,Italian,48,Czech Republic,jcb
Male,Punjabi,40,Peru,jcb
Female,Persian,29,China,jcb
Male,Indonesian,41,Germany,china-unionpay
Female,Icelandic,28,Philippines,jcb
Male,Latvian,22,Czech Republic,jcb
Female,Czech,50,Indonesia,jcb
Female,Swedish,25,Vietnam,jcb
Male,Hebrew,52,Ireland,americanexpress
Male,Albanian,23,Yemen,jcb
Male,Albanian,42,Australia,jcb
Female,Luxembourgish,55,Indonesia,americanexpress
Male,Sotho,52,Brazil,jcb
Female,Afrikaans,43,Thailand,jcb
Male,Luxembourgish,25,Serbia,jcb
Male,Latvian,36,Czech Republic,mastercard
Female,Mongolian,31,China,jcb
Female,Bislama,20,China,jcb
Male,Bengali,57,China,jcb
Female,Belarusian,22,Peru,instapayment
Female,Kyrgyz,29,Morocco,visa
Male,Croatian,30,Indonesia,bankcard
Female,Swahili,41,China,maestro
Female,Ndebele,56,Honduras,diners-club-enroute
Male,Montenegrin,23,Russia,diners-club-enroute
Male,Tok Pisin,32,Greece,mastercard
Male,Portuguese,21,Philippines,jcb
Male,Assamese,60,Indonesia,instapayment
Female,Kashmiri,24,France,americanexpress
Female,Assamese,52,Czech Republic,jcb
Male,Greek,26,Philippines,diners-club-carte-blanche
Female,Quechua,39,Thailand,jcb
Male,Malagasy,23,China,mastercard
Female,Tetum,52,China,switch
Male,Georgian,40,Philippines,americanexpress
Male,Irish Gaelic,25,Russia,jcb
Male,Polish,35,Brazil,jcb
Female,Montenegrin,23,Russia,mastercard
Female,Kyrgyz,52,Liberia,visa-electron
Male,Hindi,25,France,visa-electron
Female,Kannada,36,Czech Republic,solo
Male,Bengali,25,Honduras,mastercard
Female,Dari,28,China,jcb
Female,Portuguese,60,Indonesia,solo
Female,Filipino,25,Cyprus,jcb
Female,Kashmiri,34,Russia,instapayment
Male,Gujarati,56,Egypt,jcb
Male,Norwegian,53,China,laser
Female,Dzongkha,46,Peru,jcb
Female,Persian,41,Thailand,jcb
Female,Khmer,40,Peru,instapayment
Male,Persian,52,Brazil,jcb
Male,Thai,53,Mongolia,jcb
Male,Māori,20,Philippines,jcb
Female,Māori,36,Sweden,maestro
Female,Khmer,47,Poland,maestro
Male,Czech,25,Poland,jcb
Female,Tetum,24,China,switch
Female,Malayalam,56,China,maestro
Male,Macedonian,43,Spain,china-unionpay
Male,Latvian,40,Mexico,maestro
Male,Bulgarian,53,Indonesia,jcb
Female,German,32,Philippines,jcb
Male,Sotho,51,Portugal,solo
Male,Papiamento,34,Argentina,jcb
Female,Gujarati,55,China,americanexpress
Male,Malay,35,United States,jcb
Male,Swedish,26,China,jcb
Female,German,18,Serbia,visa
Female,Hebrew,52,United Arab Emirates,maestro
Female,Irish Gaelic,37,Brazil,jcb
Male,Aymara,52,Pakistan,jcb
Male,Spanish,48,Netherlands,jcb
Female,Montenegrin,25,Sweden,jcb
Female,Hebrew,18,China,diners-club-enroute
Female,Malayalam,36,China,mastercard
Male,Belarusian,43,Philippines,jcb
Female,Kazakh,23,China,diners-club-enroute
Female,Hungarian,48,Philippines,visa-electron
Female,Papiamento,31,China,instapayment
Female,Albanian,42,China,jcb
Female,Persian,21,Czech Republic,jcb
Female,Icelandic,60,Serbia,jcb
Male,Tajik,42,Bulgaria,china-unionpay
Male,Tok Pisin,46,Somalia,jcb
Female,Punjabi,19,Canada,jcb
Male,Kashmiri,57,Albania,jcb
Male,Bislama,55,Malaysia,switch
Female,Persian,23,China,bankcard
Female,Swati,48,Guadeloupe,laser
Male,Korean,46,Ukraine,americanexpress
Female,Estonian,22,Indonesia,maestro
Female,Gujarati,49,China,jcb
Female,Gagauz,50,China,jcb
Female,Aymara,50,Myanmar,jcb
Female,Luxembourgish,46,Indonesia,jcb
Female,Azeri,33,Nigeria,visa-electron
Female,German,43,Sudan,mastercard
Female,Tamil,47,French Polynesia,jcb
Female,Quechua,31,Poland,mastercard
Female,Malagasy,45,China,jcb
Female,Estonian,41,Palestinian Territory,mastercard
Female,German,59,Japan,jcb
Female,Montenegrin,31,Malaysia,diners-club-carte-blanche
Female,Albanian,58,Ukraine,china-unionpay
Male,Icelandic,58,Armenia,diners-club-carte-blanche
Female,Dhivehi,42,Indonesia,jcb
Female,Māori,49,France,bankcard
Female,Macedonian,43,Mongolia,diners-club-enroute
Female,Tsonga,37,Peru,jcb
Female,Chinese,18,Philippines,bankcard
Male,Oriya,26,Indonesia,jcb
Female,Finnish,57,China,visa
Male,French,52,Indonesia,jcb
Female,Italian,41,China,jcb
Male,Haitian Creole,50,Philippines,maestro
Male,Filipino,36,Macedonia,visa
Female,Gagauz,50,United States,jcb
Female,Malayalam,51,Mongolia,instapayment
Female,Latvian,43,Azerbaijan,jcb
Male,Dzongkha,39,Armenia,americanexpress
Female,Luxembourgish,48,Honduras,jcb
Female,Tsonga,56,Portugal,jcb
Male,Bengali,52,Poland,diners-club-enroute
Male,Croatian,53,Indonesia,visa-electron
Female,Gujarati,26,China,switch
Female,Albanian,50,Bulgaria,jcb
Female,Estonian,42,Philippines,maestro
Female,Tamil,19,Brazil,jcb
Female,Burmese,32,Thailand,jcb
Male,Bosnian,52,Russia,maestro
Male,Tsonga,19,Indonesia,switch
Male,Filipino,19,China,jcb
Male,Nepali,48,United Arab Emirates,jcb
Female,Czech,41,China,jcb
Female,Māori,35,Armenia,jcb
Male,Sotho,40,South Africa,jcb
Male,Belarusian,30,Albania,mastercard
Female,Northern Sotho,40,China,americanexpress
Female,Dari,19,Poland,instapayment
Male,Kyrgyz,41,China,switch
Female,Azeri,60,Philippines,americanexpress
Female,Bengali,57,Peru,jcb
Male,Northern Sotho,42,Russia,diners-club-carte-blanche
Male,Fijian,26,China,maestro
Female,Swedish,36,Russia,visa-electron
Female,Greek,29,China,mastercard
Female,Mongolian,43,Azerbaijan,americanexpress
Female,Dzongkha,57,Indonesia,jcb
Male,Polish,50,Dominican Republic,americanexpress
Female,Tsonga,36,Russia,visa-electron
Female,Yiddish,33,Maldives,jcb
Female,Albanian,53,Armenia,diners-club-enroute
Female,Bosnian,26,Croatia,china-unionpay
Female,Yiddish,27,Sweden,jcb
Female,Estonian,59,Brazil,jcb
Female,Amharic,47,Nigeria,visa
Male,Gujarati,36,Indonesia,americanexpress
Male,New Zealand Sign Language,50,Indonesia,mastercard
Male,Albanian,27,Greenland,mastercard
Male,Zulu,48,Philippines,visa
Male,Thai,49,Sierra Leone,maestro
Female,Pashto,60,Argentina,mastercard
Male,Maltese,56,Hungary,instapayment
Male,Gujarati,57,Poland,jcb
Female,Luxembourgish,41,Philippines,jcb
Male,Yiddish,18,China,jcb
Male,Guaraní,60,Sweden,diners-club-enroute
Female,Dutch,58,Estonia,americanexpress
Male,Czech,42,China,mastercard
Female,French,23,Sweden,diners-club-us-ca
Female,Lithuanian,45,Philippines,maestro
Male,Dutch,38,Indonesia,maestro
Male,Yiddish,37,Panama,americanexpress
Female,Gujarati,43,Chad,jcb
Female,Estonian,48,China,jcb
Female,Kazakh,50,Angola,jcb
Female,Telugu,50,Dominican Republic,jcb
Male,Greek,30,France,jcb
Female,Haitian Creole,34,France,visa-electron
Male,Tajik,46,Sierra Leone,jcb
Female,Quechua,37,Belarus,visa
Male,Aymara,20,Portugal,diners-club-carte-blanche
Male,Mongolian,24,Panama,jcb
Male,Hiri Motu,60,Indonesia,bankcard
Male,Icelandic,39,Myanmar,china-unionpay
Male,Hebrew,55,China,switch
Female,Tajik,46,Malaysia,diners-club-enroute
Male,Malayalam,37,Ukraine,jcb
Male,Ndebele,38,Brazil,jcb
Male,Italian,55,France,maestro
Female,Khmer,18,Sweden,jcb
Male,Amharic,26,Mexico,jcb
Male,Haitian Creole,30,Thailand,jcb
Male,Bislama,49,China,americanexpress
Female,Gujarati,48,Mauritius,bankcard
Male,Māori,36,Botswana,bankcard
Male,Ndebele,24,Belarus,jcb
Male,Assamese,54,Guam,china-unionpay
Male,Somali,51,Gambia,maestro
Male,Indonesian,50,China,switch
Female,Dzongkha,39,China,jcb
Female,Azeri,54,Thailand,jcb
Male,Moldovan,54,China,jcb
Male,Yiddish,43,Brazil,jcb
Male,Malagasy,18,Japan,visa
Female,Kyrgyz,24,China,jcb
Male,Dzongkha,42,China,laser
Male,Latvian,50,Yemen,jcb
Female,Tsonga,45,Sweden,jcb
Female,Armenian,42,China,jcb
Male,Papiamento,32,France,maestro
Male,French,59,Indonesia,jcb
Male,Polish,53,China,diners-club-carte-blanche
Female,Tok Pisin,27,Indonesia,china-unionpay
Male,Hebrew,23,Indonesia,switch
Female,Georgian,33,United States,jcb
Female,Assamese,23,China,switch
Male,Persian,51,Colombia,jcb
Male,Assamese,56,China,jcb
Female,Papiamento,43,Yemen,jcb
Female,Swati,31,Brazil,visa-electron
Male,Mongolian,20,Czech Republic,jcb
Male,Tok Pisin,48,Portugal,jcb
Female,Somali,30,Portugal,mastercard
Male,Telugu,23,Argentina,china-unionpay
Male,Hungarian,43,China,jcb
Female,Swedish,34,United States,diners-club-carte-blanche
Male,Catalan,51,Argentina,mastercard
Male,Tetum,20,Thailand,diners-club-enroute
Female,Finnish,60,Guatemala,laser
Female,Papiamento,46,France,mastercard
Male,Swedish,56,China,jcb
Male,Papiamento,40,Kazakhstan,diners-club-enroute
Male,Maltese,28,Portugal,jcb
Male,Portuguese,26,China,jcb
Male,Burmese,58,Greece,switch
Female,English,43,United States,maestro
Male,Hebrew,32,Uganda,jcb
Female,Fijian,53,United States,mastercard
Male,Hebrew,30,China,jcb
Male,Greek,22,Czech Republic,jcb
Male,Malay,26,Sweden,jcb
Female,Quechua,54,Russia,mastercard
Female,Latvian,45,Kazakhstan,maestro
Female,Telugu,29,China,solo
Male,Croatian,27,Indonesia,china-unionpay
Female,Japanese,42,Iran,diners-club-enroute
Female,Danish,24,Philippines,jcb
Female,Ndebele,23,China,mastercard
Female,Northern Sotho,22,China,instapayment
Male,Somali,43,Colombia,diners-club-enroute
Male,Mongolian,36,France,bankcard
Male,Georgian,24,China,jcb
Male,Lithuanian,37,Pakistan,laser
Male,Tsonga,46,China,diners-club-carte-blanche
Male,Bengali,54,China,maestro
Male,Hungarian,44,Ukraine,visa-electron
Male,Kannada,33,China,jcb
Male,Hebrew,52,Sweden,visa-electron
Male,Romanian,20,Indonesia,china-unionpay
Male,Irish Gaelic,57,Somalia,jcb
Female,Kurdish,55,Philippines,mastercard
Female,Tsonga,27,China,jcb
Female,English,41,Honduras,jcb
Male,Italian,27,China,switch
Male,Irish Gaelic,40,Peru,jcb
Female,Polish,45,China,mastercard
Male,Gujarati,24,Indonesia,solo
Male,Telugu,60,Japan,maestro
Male,Tswana,31,China,jcb
Female,Filipino,47,China,maestro
Male,Amharic,21,China,jcb
Male,Mongolian,31,Puerto Rico,instapayment
Male,Quechua,34,Ukraine,jcb
Female,Italian,27,Argentina,bankcard
Female,Macedonian,34,Zambia,jcb
Female,Kashmiri,42,Vietnam,jcb
Male,Swahili,50,Brazil,jcb
Male,Croatian,50,Palestinian Territory,bankcard
Male,Mongolian,54,Afghanistan,americanexpress
Female,Ndebele,41,Argentina,jcb
Male,Swedish,37,Albania,laser
Male,Dzongkha,32,Indonesia,jcb
Female,Marathi,60,Brazil,jcb
Female,Filipino,52,Vietnam,jcb
Male,Dari,25,Philippines,jcb
Female,Afrikaans,44,Thailand,visa
Female,Malagasy,57,Yemen,maestro
Female,Bulgarian,35,Russia,switch
Male,Somali,27,Thailand,solo
Male,Japanese,48,Mexico,visa
Male,Portuguese,36,Norway,diners-club-us-ca
Male,Portuguese,26,France,americanexpress
Female,Portuguese,22,Iceland,jcb
Male,Swati,33,Philippines,jcb
Male,Spanish,32,China,jcb
Male,Hungarian,48,China,jcb
Female,Tajik,26,China,switch
Male,Lithuanian,39,Mozambique,jcb
Female,Chinese,48,Indonesia,mastercard
Female,Haitian Creole,43,Dominican Republic,laser
Male,Hebrew,58,Brazil,americanexpress
Female,Tajik,30,Philippines,americanexpress
Female,Tswana,44,France,switch
Female,Lao,43,Indonesia,switch
Female,Punjabi,20,Indonesia,visa-electron
Male,Guaraní,39,Japan,jcb
Male,Nepali,59,Thailand,americanexpress
Male,Italian,24,Russia,jcb
Female,New Zealand Sign Language,58,United States,switch
Male,Kurdish,22,Poland,visa-electron
Male,New Zealand Sign Language,53,Indonesia,maestro
Male,Zulu,55,China,jcb
Male,Kashmiri,32,Indonesia,jcb
Female,Albanian,40,Kenya,jcb
Female,Hindi,26,China,diners-club-us-ca
Female,Bosnian,29,Poland,americanexpress
Female,Bulgarian,24,Canada,switch
Female,Persian,55,Tanzania,maestro
Male,Georgian,57,Tanzania,china-unionpay
Female,Haitian Creole,34,Philippines,diners-club-carte-blanche
Male,Maltese,49,Argentina,jcb
Female,Latvian,29,Mexico,jcb
Male,Danish,40,Indonesia,jcb
Male,Japanese,46,Indonesia,switch
Female,Malayalam,19,China,jcb
Female,Bosnian,21,Colombia,visa-electron
Male,Hindi,54,Mexico,jcb
Male,Swahili,21,Russia,diners-club-international
Male,Moldovan,28,Cameroon,jcb
Male,Kannada,37,Philippines,visa
Male,Icelandic,35,United States,diners-club-enroute
Female,Azeri,33,Indonesia,mastercard
Male,Latvian,53,China,visa
Male,Marathi,25,China,instapayment
Male,Dhivehi,24,Russia,instapayment
Male,Maltese,21,Indonesia,china-unionpay
Female,Polish,48,Russia,laser
Female,Tajik,42,Indonesia,visa-electron
Female,Danish,57,Costa Rica,jcb
Male,Kurdish,33,Argentina,jcb
Female,English,20,Philippines,maestro
Male,Kannada,48,Brazil,jcb
Female,Kyrgyz,45,China,mastercard
Female,Quechua,42,Nigeria,visa-electron
Female,Montenegrin,24,Indonesia,jcb
Female,Pashto,29,Philippines,china-unionpay
Male,Tok Pisin,26,Philippines,jcb
Female,Assamese,39,Uzbekistan,switch
Male,Gujarati,48,Bangladesh,china-unionpay
Male,Gagauz,28,Ireland,mastercard
Male,Italian,19,Vietnam,visa-electron
Male,Polish,23,China,jcb
Female,Hindi,31,China,visa-electron
Male,Tamil,21,Sweden,americanexpress
Male,Croatian,49,Japan,diners-club-carte-blanche
Male,Georgian,34,Philippines,jcb
Female,Spanish,46,Brazil,jcb
Male,Dutch,60,France,bankcard
Female,Croatian,46,Ukraine,jcb
Male,Norwegian,26,Poland,mastercard
Female,Guaraní,55,China,instapayment
Male,Kannada,58,China,jcb
Male,Assamese,25,Norway,jcb
Female,Quechua,35,Russia,maestro
Male,Haitian Creole,26,Serbia,jcb
Male,Albanian,33,Russia,diners-club-enroute
Female,Croatian,56,Brazil,jcb
Female,Macedonian,57,South Africa,maestro
Female,Swedish,33,Syria,jcb
Male,Tok Pisin,50,Brazil,jcb
Female,Czech,18,China,jcb
Male,Bengali,55,Philippines,visa-electron
Male,Chinese,38,Ukraine,maestro
Female,Telugu,42,Portugal,bankcard
Female,Guaraní,55,Portugal,visa
Female,Guaraní,55,Togo,bankcard
Male,Dutch,55,Philippines,visa-electron
Male,Czech,44,Ethiopia,jcb
Male,Irish Gaelic,24,Greece,jcb
Female,Georgian,44,Tanzania,diners-club-enroute
Female,Malayalam,41,Belarus,jcb
Female,Catalan,54,Slovenia,jcb
Female,Dzongkha,33,China,jcb
Male,German,41,Uzbekistan,bankcard
Male,Hebrew,25,Indonesia,mastercard
Male,Indonesian,33,Denmark,china-unionpay
Female,Ndebele,53,Indonesia,visa
Male,Sotho,25,Sweden,switch
Female,Tajik,22,China,americanexpress
Female,Aymara,50,Cuba,diners-club-us-ca
Female,Albanian,35,Philippines,jcb
Female,Burmese,24,Ukraine,instapayment
Male,Estonian,45,China,visa-electron
Male,Tajik,54,Israel,jcb
Female,Thai,23,Philippines,jcb
Male,Northern Sotho,36,Ukraine,jcb
Female,Tajik,30,Latvia,jcb
Female,Georgian,52,China,jcb
Female,Icelandic,25,Russia,switch
Male,Pashto,31,Philippines,americanexpress
Male,Icelandic,51,Colombia,mastercard
Female,Dzongkha,44,Indonesia,jcb
Female,Nepali,33,China,visa-electron
Male,Punjabi,50,Morocco,jcb
Female,Mongolian,58,China,china-unionpay
Male,Oriya,20,Poland,jcb
Female,Swahili,18,Argentina,jcb
Male,Tswana,29,China,diners-club-us-ca
Female,Swati,34,Thailand,jcb
Male,Guaraní,45,Sweden,bankcard
Female,Northern Sotho,53,Mozambique,jcb
Female,Guaraní,40,China,jcb
Female,Mongolian,57,Syria,jcb
Female,Portuguese,52,Guinea,laser
Male,Azeri,28,China,jcb
Female,Marathi,39,Russia,mastercard
Male,Telugu,30,Indonesia,americanexpress
Female,Northern Sotho,57,China,visa
Female,Telugu,27,Mexico,jcb
Male,Luxembourgish,38,Philippines,jcb
Female,Hebrew,59,China,jcb
Male,Punjabi,33,Malaysia,diners-club-carte-blanche
Female,Burmese,30,Brazil,jcb
Female,Hungarian,18,Vietnam,jcb
Female,Azeri,37,Philippines,visa-electron
Female,Lithuanian,49,Philippines,jcb
Male,West Frisian,55,China,visa
Male,Tajik,48,China,jcb
Female,Fijian,53,Indonesia,jcb
Female,Montenegrin,33,China,diners-club-carte-blanche
Female,Bosnian,29,Panama,diners-club-carte-blanche
Male,Portuguese,29,France,jcb
Male,Bulgarian,59,Russia,jcb
Female,Zulu,31,Greece,maestro
Male,Malay,47,Thailand,jcb
Male,Quechua,43,Ukraine,jcb
Male,Arabic,46,Belarus,jcb
Male,Swedish,58,Sweden,jcb
Male,Bulgarian,32,China,jcb
Male,Northern Sotho,46,China,bankcard
Female,Gagauz,52,Macedonia,diners-club-enroute
Female,Greek,42,China,laser
Male,Malagasy,30,Namibia,mastercard
Male,Gujarati,60,Indonesia,jcb
Male,Italian,60,United States,jcb
Male,Punjabi,21,Poland,jcb
Female,West Frisian,42,China,mastercard
Male,Hindi,23,Indonesia,diners-club-carte-blanche
Female,Icelandic,28,Serbia,bankcard
Female,Dhivehi,47,China,americanexpress
Male,Korean,32,Japan,jcb
Male,Maltese,33,Brazil,jcb
Male,Hiri Motu,25,Sweden,diners-club-international
Male,Lao,40,China,jcb
Female,Hiri Motu,29,Uganda,maestro
Female,Romanian,31,Russia,jcb
Male,Aymara,44,Russia,mastercard
Female,Dutch,38,Niger,jcb
Female,Gujarati,50,Philippines,jcb
Female,West Frisian,23,Russia,mastercard
Female,Hungarian,35,Russia,americanexpress
Female,Lithuanian,23,France,diners-club-enroute
Female,Lithuanian,48,Russia,maestro
Female,Ndebele,47,Greece,jcb
Male,Icelandic,36,Bulgaria,maestro
Female,Kashmiri,34,Russia,jcb
Male,Sotho,56,Jordan,china-unionpay
Male,Romanian,18,China,diners-club-enroute
Male,Macedonian,55,Palestinian Territory,diners-club-carte-blanche
Female,Malagasy,58,Russia,visa
Male,Lao,21,Bulgaria,jcb
Female,Tsonga,26,Indonesia,americanexpress
Male,Spanish,56,Czech Republic,maestro
Male,Somali,45,Colombia,solo
Male,Hiri Motu,48,Japan,diners-club-enroute
Female,Telugu,40,Brazil,diners-club-enroute
Female,Armenian,36,Ukraine,americanexpress
Male,Hiri Motu,31,Philippines,jcb
Male,Montenegrin,42,China,diners-club-us-ca
Female,Aymara,46,Poland,visa
Male,Yiddish,51,Venezuela,mastercard
Male,Tajik,47,China,maestro
Male,Hindi,57,Russia,jcb
Male,Icelandic,56,Russia,jcb
Male,Māori,29,France,switch
Male,Haitian Creole,24,Greece,jcb
Female,Kannada,53,Moldova,jcb
Male,Icelandic,46,China,china-unionpay
Female,New Zealand Sign Language,35,Angola,jcb
Male,Hungarian,37,Argentina,jcb
Male,Hiri Motu,48,Indonesia,jcb
Male,West Frisian,48,Greece,jcb
Male,Hebrew,18,Czech Republic,switch
Male,Tetum,19,Indonesia,jcb
Male,Hindi,59,China,diners-club-enroute
Male,Telugu,24,Thailand,instapayment
Male,Sotho,18,China,switch
Female,Fijian,28,Indonesia,jcb
Female,Pashto,48,China,instapayment
Male,Fijian,52,Sweden,bankcard
Male,Tsonga,38,Greece,maestro
Female,Hungarian,36,Cuba,jcb
Male,Pashto,53,France,diners-club-carte-blanche
Male,Azeri,43,United States,instapayment
Female,Tswana,36,Russia,visa-electron
Male,Tamil,33,Honduras,jcb
Female,Khmer,41,Portugal,jcb
Male,Oriya,36,China,maestro
Female,Quechua,27,Belarus,jcb
Male,Tok Pisin,23,Indonesia,jcb
Female,Armenian,41,Japan,solo
Male,Malayalam,20,Sweden,jcb
Female,Tsonga,56,Poland,jcb
Female,Amharic,29,Brazil,mastercard
Male,Hiri Motu,23,China,jcb
Female,Malagasy,24,Israel,switch
Male,Khmer,32,Serbia,jcb
Male,Azeri,30,Philippines,diners-club-international
Female,Macedonian,48,Colombia,jcb
Female,Gagauz,21,Ireland,jcb
Male,Filipino,25,United States,jcb
Female,Sotho,45,Dominica,instapayment
Female,Haitian Creole,35,Pakistan,instapayment
Female,Gagauz,50,France,jcb
Female,Catalan,50,Syria,jcb
Male,Arabic,36,Peru,maestro
Female,Afrikaans,41,United States,jcb
Female,Norwegian,48,France,mastercard
Female,Albanian,36,Canada,instapayment
Male,Marathi,37,Peru,jcb
Female,Kurdish,27,China,switch
Male,Dari,35,Ukraine,jcb
Female,Assamese,54,France,laser
Female,Spanish,47,Kazakhstan,diners-club-enroute
Female,Kashmiri,41,Peru,jcb
Female,New Zealand Sign Language,34,China,china-unionpay
Female,Somali,33,China,visa-electron
Male,Malagasy,31,Jersey,jcb
Female,Tswana,29,Estonia,mastercard
Male,Latvian,38,United States,diners-club-carte-blanche
Male,Lithuanian,19,China,jcb
Male,Tok Pisin,21,Indonesia,americanexpress
Female,Korean,49,China,switch
Male,Zulu,34,Indonesia,diners-club-us-ca
Male,Aymara,39,Sweden,mastercard
Female,Somali,20,Poland,laser
Female,Tetum,30,Guatemala,jcb
Male,Norwegian,32,Luxembourg,americanexpress
Male,Malagasy,46,Indonesia,jcb
Male,Maltese,40,Lebanon,bankcard
Male,Catalan,18,China,china-unionpay
Male,Maltese,37,Mexico,laser
Male,Luxembourgish,47,Peru,jcb
Male,Ndebele,23,Chile,laser
Male,Irish Gaelic,29,Russia,china-unionpay
Female,Czech,18,China,mastercard
Female,Telugu,22,Tanzania,bankcard
Female,Hindi,20,Guinea,visa
